Station Name,Station information,Phone number,Access,Access times,Level 1 charging stations,Level 2 charging stations,DC Fast charging stations,Network,Network website,Open date,Connections,Address,City,State,Zip code,Location 1
ORACLE RWSHORE,220 GARAGE-001; Inside garage 220 on ground level stalls 2-9 & 2-8220 GARAGE-002; Inside garage 220 on ground level stalls 2-6 & 2-7,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,200 Oracle Pkwy,Redwood City,CA,94065,
FACEBOOK,MPK 29 FC-3; East entrance of 220 Jefferson DrMPK 29 FC-4; East entrance of 220 Jefferson DrMPK 29 FC-5; East entrance of 220 Jefferson Dr,888-758-4389,Public,,,,6,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772COMBO,240 Constitution Dr,Menlo Park,CA,94025,
HUDSON 333 TWIN,STATION 1STATION 2,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,333 Twin Dolphin Dr,Redwood City,CA,94065,
MILLBRAE,PARKING LOT C 1; Northeast Corner of Parking LotPARKING LOT C 2; -,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,320 Magnolia Avenue,Millbrae,CA,94030,
BRISBANEVILLAGE,BRISBANEVILLAGE; -,888-758-4389,Public,,,,2,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772COMBO,108 Old County Rd,Brisbane,CA,94005,
Britannia Oyster Point Business Plaza,Located outside of the parking garage,888-998-2546,Public,,,,2,Blink Network,http://www.blinknetwork.com/,,CHADEMO,1110 Veterans Boulevard,South San Francisco,CA,94080,
Park 'N Fly,,650-877-8438,Public,,,8,,,,04/01/2015,J1772,160 Produce Ave S,San Francisco,CA,94080,
Half Moon Bay Distillery - Tesla Destination,,650-477-5131  877-798-3752,Public,,,1,,Tesla Destination,https://www.tesla.com/destination-charging,02/17/2015,TESLA,103 Harvard Ave,Half Moon Bay,CA,94019,
CITY OF REDWOOD,DOWNTOWNCINEMA1DOWNTOWNCINEMA2,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2107 Broadway,Redwood City,CA,94063,
ORACLE RWSHORE,DTECH 1DTECH 2,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,275 Oracle Pkwy,Redwood City,CA,94065,
FACEBOOK,MPK 29 FC-1MPK 29 FC-16MPK 29 FC-17MPK 29 FC-19MPK 29 FC-21; West EntranceMPK 29-12GWMPK 29-15MPK 29-6MPK 29-7GW,888-758-4389,Public,,,8,10,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772 J1772COMBO,220 Jefferson Dr,Menlo Park,CA,94025,
ESSEX,PARK GREEN 01; Second level garagePARK GREEN 02; 3rd floor parking garagePARK GREEN 03; 4th floor parking garage,888-758-4389,Public,,,6,,ChargePoint Network,http://www.chargepoint.com/,,J1772,430 Station Park Circle,San Mateo,CA,94402,
Whole Foods Market,,877-455-3833,Public - Card key at all times,,,1,4,eVgo Network,https://www.evgo.com/,,CHADEMO J1772 J1772COMBO,1250 Jefferson Ave,Redwood City,CA,94062,
Walgreens #3346 DCFC,,888-998-2546,Public,,,,1,Blink Network,http://www.blinknetwork.com/,,CHADEMO,399 EL CAMINO REAL,South San Francisco,CA,94080,
New Leaf Shopping Center,,877-455-3833,Public - Card key at all times,,,1,4,eVgo Network,https://www.evgo.com/,,CHADEMO J1772 J1772COMBO,150 San Mateo Rd,Half Moon Bay,CA,94019,
FACEBOOK,MPK 12-1; -MPK 12-2; -MPK 12-3; -,888-758-4389,Public,,,6,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1 Hacker Way Building 12,Menlo Park,CA,94025,
ALMAZ CAPITAL,WELCOME TO ALL; 2 stalls to the West from private Charepoint charger. on Alpine Road divider from parking lot,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,3274 Alpine Rd,Portola Valley,CA,94028,
JEFFERSON,TRP,888-758-4389,Public,,,1,,ChargePoint Network,http://www.chargepoint.com/,,J1772,550 E Market St,Daly City,CA,94014,
FACEBOOK,MPK 23 FC-2MPK 23-1; -MPK 23-2MPK 23-3,888-758-4389,Public,,,6,2,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772 J1772COMBO,300 Constitution Dr. MPK 23,Menlo Park,CA,94025,
Grail Biotech,,,Private,For tenant use only,,2,,,,11/15/2017,J1772,1525 O'Brien Dr,Menlo Park,CA,94025,"(37.47705, -122.14088)"
MILLBRAE,446 BROADWAY #1; Entrance from El Camiino and Broadway446 BROADWAY #2; Entrance from El Camino or Broadway,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,446 Broadway,Millbrae,CA,94030,
PRIVATE GNE,PS TBD 1PS TBD 2,888-758-4389,Private,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,510 Cabot Rd,South San Francisco,CA,94080,
CardioDx - Britannia Seaport Centre,,888-998-2546,Public,,,4,,Blink Network,http://www.blinknetwork.com/,,J1772,600 Saginaw Drive,Redwood City,CA,94063,
IKEA - East Palo Alto,Located on ground floor near isle K row,888-998-2546,Public,,,2,,Blink Network,http://www.blinknetwork.com/,,J1772,1700 E. Bayshore Rd,Palo Alto,CA,94303,
THE COVE EV,GL1 10; SOUTH OF 121GL1 6; South of 121GL1 7; South of 121GL1 8; South 121GL1 9; South side 121 oyster point,888-758-4389,Public,,,9,,ChargePoint Network,http://www.chargepoint.com/,,J1772,121 Oyster Point Blvd,South San Francisco,CA,94080,
The Mountain House Restaurant - Tesla Destination,,650-851-8541  877-798-3752,Public,,,2,,Tesla Destination,https://www.tesla.com/destination-charging,01/01/2016,TESLA,13808 Skyline Blvd,Woodside,CA,94062,
Audi Palo Alto,Located to the right of the service entrance,833-830-1068,Public,,,1,,,,11/15/2017,J1772,1730 Embarcadero Rd,Palo Alto,CA,94303,
FACEBOOK,MPK 14-8,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,14 Hacker Way,Menlo Park,CA,94025,
EMB EV,STATION 3; Embarcadero place building E,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2221 E Bayshore Rd,East Palo Alto,CA,94303,
SAN MATEO CNTY,COYOTE POINT #1; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,"1701 Coyote Point Drive Coyote Point Park, Magic Mountain Playground",San Mateo,CA,94401,
PRIVATE GNE,PS B NEW 1; located on first floor PS B NEW 2; On first floorPS B NEW 3; On first floorPS B NEW 4; located on the first floorPS B NEW 5; located on first floorPS B NEW 6; Located on first floorPS B NEW 7; On first floor PS-B-1; NO PUBLIC ACCESS - Genentech parking stucture across from B45PS-B-2; NO PUBLIC ACCESS - Genentech Parking structure across from B45,888-758-4389,Private,,,16,,ChargePoint Network,http://www.chargepoint.com/,,J1772,625 E Grand Ave,South San Francisco,CA,94080,
SHR CHARGEPOINT,STATION 1; North side of parking lotSTATION 2,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2200 Sand Hill Rd,Menlo Park,CA,94025,
Serramonte Nissan,,877-455-3833,Public - Card key at all times,,,,1,eVgo Network,https://www.evgo.com/,,CHADEMO,650 Serramonte Blvd,Colma,CA,94014,
THE COVE EV,151 OYSTER 1; Building 3151 OYSTER 2; Building 3151 OYSTER 3; Building 3151 OYSTER 4; Official address will be 151 Oyster Point Blvd,888-758-4389,Public,,,6,,ChargePoint Network,http://www.chargepoint.com/,,J1772,151 Oyster Point Blvd,South San Francisco,CA,94080,
601 MARSHALL,STATION 5,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,601 Marshall,Redwood City,CA,94063,
BAYSHORE TECH,2400 BRIDGE PKY; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2400 Bridge Pkwy,Redwood City,CA,94065,
Britannia Oyster Point II Business Plaza,,888-998-2546,Public,,,4,,Blink Network,http://www.blinknetwork.com/,,J1772,329 Oyster Point Boulevard,South San Francisco,CA,94080,
Facebook - Building 12,,888-998-2546,Public,,,,2,Blink Network,http://www.blinknetwork.com/,,CHADEMO,1601 Willow Rd.,Menlo Park,CA,94025,
Facebook - Building 25,,888-998-2546,Private,,,,2,Blink Network,http://www.blinknetwork.com/,,CHADEMO,180 Jefferson Dr.,Menlo Park,CA,94025,
ORACLE RWSHORE,601 GARAGE-001; Inside garage 601 on 2nd fl near elevator601 GARAGE-002; Inside garage 601 on 2nd fl furthest from elevator,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,377-499 Island Pkwy,Belmont,CA,94002,
San Francisco Airport - Marriott Waterfront,,650-692-9100,Public,,,4,,,,07/20/2011,J1772,1800 Old Bayshore Hwy,Burlingame,CA,94010,
MENLO PARK,LAUREL 2,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,701 Laurel St,Menlo Park,CA,94025,
BAYSHORE TECH,2000 BRIDGE PKY; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2000 Bridge Pkwy,Redwood City,CA,94065,
Four Seasons Hotel Silicon Valley,See valet attendant to charge.,888-998-2546,Public,,,1,,Blink Network,http://www.blinknetwork.com/,,J1772,2050 University Ave.,East Palo Alto,CA,94303,
BAY MEADOWS 3,B1 CENTER NORTH; Level B1 Center-NorthB1 CENTER SOUTH; Level B1 Center-SouthP1 NORTH; Level P1-NorthP1 SOUTH; Level P1-South,888-758-4389,Public,,,8,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2950 S Delaware St,San Mateo,CA,94403,
CAN,CAN LOT 1 ST1,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,4200 Farm Hille BLVD,Redwood City,CA,94061,
THE COVE EV,GL1 5; Level 1,888-758-4389,Public,,,1,,ChargePoint Network,http://www.chargepoint.com/,,J1772,271-299 Oyster Point Blvd,South San Francisco,CA,94080,
HUDSON POP,2655 STATION 1; Is on the last building on the back2655 STATION 2; By the last building 2988 STATION 1,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2655 Campus Dr,San Mateo,CA,94403,
Gateway 101 - Tesla Supercharger,,877-798-3752,Public,,,,20,Tesla,http://www.teslamotors.com/supercharger,07/23/2018,TESLA,1771 E Bayshore Rd,East Palo Alto,CA,94303,
1410 GARAGE EV,#1; Parking Garage Ground Level#2; Parking Garage Ground Level,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1400 Fashion Island Blvd,San Mateo,CA,94404,
SMCCD,SKY LOT F EV_3; SkyLot F - Building 11SKY LOT F EV_4; Skylot F - Building 11,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,3300 College Rd,San Bruno,CA,94066,
PORTOLAVALLEYTH,LIBRARY; By library SCHOOL HOUSE; Welcome to Portola Valley,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,765 Portola Rd,Portola Valley,CA,94028,
Britannia Pointe Grand Business Park,,888-998-2546,Public,,,5,2,Blink Network,http://www.blinknetwork.com/,,CHADEMO J1772,280 E Grand Avenue,South San Francisco,CA,94080,
PALO ALTO CA,MPL #1; -MPL #2; -MPL #3; -MPL #4; -MPL #5; -MPL #6; -,888-758-4389,Public,,,6,,ChargePoint Network,http://www.chargepoint.com/,,J1772,3700 Middlefield Rd,Palo Alto,CA,94303,
GE WattStation,,855-443-3873,Private,,,1,,GE WattStation,https://www.gewattstation.com,,J1772,700  Bair Island Rd,Redwood City,CA,94063,
MENLO PARK,CIVIC CNTR ST 1; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,400-598 Mielke Dr,Menlo Park,CA,94025,
MENLO PARK,CIVIC CNTR ST 1; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,400-598 Mielke Dr,Menlo Park,CA,94025,
FACEBOOK,MPK 28 10; -MPK 28 8; -MPK 28 9; -MPK 28GW 1; -MPK 28GW 2; -,888-758-4389,Public,,,10,,ChargePoint Network,http://www.chargepoint.com/,,J1772,164 Jefferson Dr. MPK 28,Menlo Park,CA,94025,
Adverum Biotechnologies,Located in the front of the building,,Public,,,4,,,,11/15/2017,J1772,1035 O'Brien Dr,Menlo Park,CA,94025,
TOWNSHIP,STATION 1STATION 2,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,333 Main St,Redwood City,CA,94063,
500 BROADWAY,SUL; 9th and 10th parking stalls on right,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,500 Broadway,Redwood City,CA,94063,
Hotel Nia - Tesla Destination,,650-900-3434  877-798-3752,Public,,,6,,Tesla Destination,https://www.tesla.com/destination-charging,11/01/2018,TESLA,200 Independence Dr,Menlo Park,CA,94025,
FACEBOOK,MPK 15-5; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,15 Hacker Way Building 15,Menlo Park,CA,94025,
Park Place - Tesla Supercharger,,877-798-3752,Public,,,,8,Tesla,http://www.teslamotors.com/supercharger,03/01/2015,TESLA,1200 Park Pl,San Mateo,CA,94403,
HMB,HMB-KELLY AVE; Located at Kelly Avenue and Main Street,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,714 Kelly Ave,Half Moon Bay,CA,94019,
FACEBOOK,MPK 64-3MPK 64-4MPK 64-5,888-758-4389,Public,,,6,,ChargePoint Network,http://www.chargepoint.com/,,J1772,135 Commonweath Dr,Menlo Park,CA,94025,
Stanford Park Hotel,,800-663-5633,Public - Card key at all times,,,2,,SemaCharge Network,http://www.semacharge.com/,,J1772,100 El Camino Real,Menlo Park,CA,94025,
CAN,CAN LOT 2 ST1; North West Corner of Lot 2,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,Ca̱ada College 4200 Farm Hill Dr.,Redwood City,CA,94061,
SAN MATEO CNTY,COYOTE POINT #2; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,"1701 Coyote Point Drive Coyote Point Park, Magic Mountain Playgroud",San Mateo,CA,94401,
EVSP WALGREENS,STORE 2939,888-758-4389,Public,,,1,,ChargePoint Network,http://www.chargepoint.com/,,J1772,333 El Camino Real,San Bruno,CA,94066,
Serramonte Center,Close to The Elephant Bar/Macy's,888-998-2546,Public,,,,1,Blink Network,http://www.blinknetwork.com/,,CHADEMO,3 Serramonte Center,Daly City,CA,94015,
960 SANANTONIO,EV STATION 01; 960 San Antonio Parking Lot,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,960 San Antonio Rd,Palo Alto,CA,94303,
Millwood Inn and Suites - Tesla Destination,,650-583-3935  877-798-3752,Public,,,2,,Tesla Destination,https://www.tesla.com/destination-charging,11/01/2018,TESLA,1375 El Camino Real,Millbrae,CA,94030,
FACEBOOK,MPK 14-10MPK 14-1; Facebook Employees OnlyMPK 14-2; Facebook Employees OnlyMPK 14-3MPK 14-4MPK 14-5MPK 14-6MPK 14-7; -MPK 14-9,888-758-4389,Public,,,18,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1 Hacker Way Building 14,Menlo Park,CA,94025,
GE WattStation,,855-443-3873,Private,,,1,,GE WattStation,https://www.gewattstation.com,,J1772,1553  El Camino Real,Redwood City,CA,94063,
FACEBOOK,MPK 28 11MPK 28 12MPK 28 13MPK 28 14MPK 28GW 3; -MPK 28GW 4,888-758-4389,Public,,,12,,ChargePoint Network,http://www.chargepoint.com/,,J1772,164 Jefferson Dr.,Menlo Park,CA,94025,
ORACLE RWSHORE,OPL-006; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1012 Twin Dolphin Dr,Belmont,CA,94002,
Acterra,,650-962-9876,Public,,,1,,,,11/15/2017,J1772,3921 E Bayshore Rd,Palo Alto,CA,94303,
HUDSON POP,2755 STATION 1,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2755 Campus Dr,San Mateo,CA,94403,
SMCCD,CSM LOT 5 EV_4; South side of lot 5,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1700West Hillsdale Marie Curie Lot 5,San Mateo,CA,94402,
BOARDWALK VW,DC FAST; -VW_426074,888-758-4389,Public,,,2,1,ChargePoint Network,http://www.chargepoint.com/,,J1772 J1772COMBO,1 Bair Island Rd,Redwood City,CA,94063,
Masonic Temple Garage,,888-998-2546,Public,,,2,,Blink Network,http://www.blinknetwork.com/,,J1772,1101 California Street,San Francisco,CA,94080,
BAYSHORE TECH,3600 BRIDGE PKY; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,3600 Bridge Pkwy,Redwood City,CA,94065,
FACEBOOK,MPK 57 FC-1MPK 57 FC-2MPK 57 FC-3MPK 57 FC-4MPK 57 FC-5; -MPK 57 FC-6; -MPK 57 FC-7,888-758-4389,Public,,,,14,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772COMBO,1350 CA-114,Menlo Park,CA,94025,
STATION 1,SHARON GREEN 1; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,350 Sharon Park Dr,Menlo Park,CA,94025,
MPCSD,TERC; Encinal School parking lot employee lot,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,181 Encinal Ave,Menlo Park,CA,94025,
GE WattStation,,855-443-3873,Private,,,1,,GE WattStation,https://www.gewattstation.com,,J1772,710  Bair Island Rd,Redwood City,CA,94063,
CCSF - SFO,SFO INT LOT G12; International Parking Garage G Level 7,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,San Francisco International Airport International Parking Garage G,Millbrae,CA,94030,
Boardwalk Chevrolet,,650-249-4032,Public,,,1,,,,11/15/2017,J1772,544 E Bayshore Rd,Redwood City,CA,94063,
METRO TOWER,919 E HLSDLE 1; Parking area919 E HLSDLE 2; Parking area919 E HLSDLE 3; Parking area 919 E HLSDLE 4; Parking area 919 E HLSDLE 5; Parking area 919 E HLSDLE 6; Parking area 919 E HLSDLE 7; Parking area 919 E HLSDLE 8; Parking area,888-758-4389,Public,,,16,,ChargePoint Network,http://www.chargepoint.com/,,J1772,919 E Hillsdale Blvd,Foster City,CA,94404,
Nissan of Serramonte,,650-550-7200,Private,,,1,,,,03/15/2011,,1500 Collins Ave,Colma,CA,94014,37 671267
PUBLIC CHARGERS,CENTRAL GRG 1; Street level of garageCENTRAL GRG 2; Street level of garage,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,311 S Ellsworth Ave,San Mateo,CA,94401,
EV CHARGER,SHARON APT. EV; In back of Apartment Building,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2225 Sharon Rd,Menlo Park,CA,94025,
BAYSHORE TECH,800 BRIDGE PKY,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,800 Bridge Pkwy,Redwood City,CA,94065,
Kaiser - Redwood City,,800-663-5633,Public - Card key at all times,,,13,,SemaCharge Network,http://www.semacharge.com/,,J1772,1150 Veterans Boulevard,Redwood City,CA,94063,
FACEBOOK,MPK 58-1; Behind MPK58 MPK 58-2; -MPK 58-3; Behind MPK58 MPK 58-4; Behind MPK58 MPK 58-5; Behind MPK58 MPK 58-7; Behind MPK58 MPK 58-8; Behind MPK58 ADAMPK 58GW-6,888-758-4389,Public,,,16,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1360 Willow Rd MPK 58,Menlo Park,CA,94025,
Super 8 - San Bruno - San Francisco International Airport West - Tesla Destination,,650-624-0999  877-798-3752,Public,,,2,,Tesla Destination,https://www.tesla.com/destination-charging,11/01/2018,TESLA,421 El Camino Real,San Bruno,CA,94066,
PlugShare NorCal Office,,800-663-5633,Public,,,1,,SemaCharge Network,http://www.semacharge.com/,,J1772,985 East San Carlos Ave,San Carlos,CA,94070,
FACEBOOK,MPK 29 FC-2; East entrance of 220 Jefferson Dr,888-758-4389,Public,,,,2,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772COMBO,260 Constitution Dr,Menlo Park,CA,94025,
FACEBOOK,"MPK 17-10; Facebook Employees OnlyMPK 17-11; Facebook Employees Only. Located on southwest side, Bldg 17MPK 17-2; Facebook Employees Only",888-758-4389,Public,,1,5,,ChargePoint Network,http://www.chargepoint.com/,,J1772 NEMA520,1 Hacker Way Building 17,Menlo Park,CA,94025,
BAYSHORE TECH,1600 BRDG PKY 31600 BRIDGE (2); -1600 BRIDGE 4; -1600 BRIDGE 5; -1600 BRIDGE PKY; -,888-758-4389,Public,,,10,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1600 Bridge Pkwy,Redwood City,CA,94065,
Boardwalk Nissan,,650-364-0100,Private,,,1,,,,03/15/2011,J1772,1 Bair Island Rd,Redwood City,CA,94063,
SMCCD,"LOT S; Lot S, at Building 4SKY LOT L EV_1; Parking Lot L SKY LOT L EV_2; Parking Lot LSKY LOT L EV_3; Parking Lot LSKY LOT L EV_4; Parking Lot LSKY LOT L EV_5; Parking Lot LSKY LOT L EV_6; Parking Lot LSKY LOT L EV_7; Parking Lot LSKY LOT L EV_8; Parking Lot L",888-758-4389,Public,,,17,,ChargePoint Network,http://www.chargepoint.com/,,J1772,3300 College Dr,San Bruno,CA,94066,
PALO ALTO CA,RINCONADA LIB 1; Off of Newell RoadRINCONADA LIB 2; Off of Newell RdRINCONADA LIB 3; North Parking Lot Sidewalk Area,888-758-4389,Public,,3,3,,ChargePoint Network,http://www.chargepoint.com/,,J1772 NEMA520,1213 Newell Rd,Palo Alto,CA,94303,
EV CHARGER,HOTEL LUCENT,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,727 El Camino Real,Menlo Park,CA,94025,
Westlake Shopping Center,,877-455-3833,Public - Card key at all times,,,1,4,eVgo Network,https://www.evgo.com/,,CHADEMO J1772 J1772COMBO,75 Southgate Ave,Daly City,CA,94015,
SMCCD,SKY LOT G S2; North West Corner of Lot GSKY LOT G ST; North West Corner of Lot G,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,Skyline College 3300 College Dr,San Bruno,CA,94066,
SMCCD,SKY LOT F EV_1; Sky Lot F - Building 11SKY LOT F EV_2; Sky Lot F - Building 11,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,11 College Rd,Pacifica,CA,94044,
PROMETHEUS,TRESTLE 331; -,888-758-4389,Public,,,1,,ChargePoint Network,http://www.chargepoint.com/,,J1772,331 El Camino Real,San Carlos,CA,94070,
MILLBRAE,"CITY LIBRARY #1; North side of library parking lot, enter from Poplar.CITY LIBRARY #2; In Millbrae Library Parking lot",888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1 Library Ave,Millbrae,CA,94030,
HEALTH CENTER,SPV NORTH; The station is located in Carport A,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,501 Portola Rd,Portola Valley,CA,94028,
4700 BOHANNON,4700 BOHANNON; Located outside of the front entrance of 4700 Bohannon,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,4700 Bohannon Dr,Menlo Park,CA,94025,
PARK PLACE,EV A; Drive down ramp to basement level and follow signs to EV charging stations,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1100 Park Pl Basement Garage,San Mateo,CA,94403,
FACEBOOK,MPK 27 FC-1; At back of Building - Charger faces BuildingMPK 27 FC-2; Facing highway 101MPK 27-1; -MPK 27-2; -MPK 27-3; -MPK 27-4; -,888-758-4389,Public,,,8,4,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772 J1772COMBO,162 Jefferson Dr. MPK 27,Menlo Park,CA,94025,
CAN,CAN LOT 1 ST2; -CAN LOT 1 ST3; Canada Lot 1CAN LOT 1 ST4; -CAN LOT 2 ST2; Canada Lot 2,888-758-4389,Public,,,8,,ChargePoint Network,http://www.chargepoint.com/,,J1772,Campus Cir,Redwood City,CA,94061,
HUDSON POP,2755 STATION 2,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2609-2615 Campus Dr,San Mateo,CA,94403,
